WARD SECTION (CONCATENATED),WARD,SECTION,MONTH NAME,MONTH NUMBER,DATES
0101,1,1,APRIL,4,"5,6"
0101,1,1,MAY,5,"3,4"
0101,1,1,JUNE,6,"1,7"
0101,1,1,JULY,7,"5,6"
0101,1,1,AUGUST,8,"2,3"
0101,1,1,SEPTEMBER,9,"6,7"
0101,1,1,OCTOBER,10,"4,5"
0101,1,1,NOVEMBER,11,"1,2"
0102,1,2,APRIL,4,"1,7"
0102,1,2,MAY,5,"5,6"
0102,1,2,JUNE,6,"2,3"
0102,1,2,JULY,7,"1,7"
0102,1,2,AUGUST,8,"4,5"
0102,1,2,SEPTEMBER,9,"1,2"
0102,1,2,OCTOBER,10,"6,7"
0102,1,2,NOVEMBER,11,"3,4"
0103,1,3,APRIL,4,"12,13"
0103,1,3,MAY,5,"10,11"
0103,1,3,JUNE,6,"8,14"
0103,1,3,JULY,7,"12,13"
0103,1,3,AUGUST,8,"9,10"
0103,1,3,SEPTEMBER,9,"13,14"
0103,1,3,OCTOBER,10,"11,12"
0103,1,3,NOVEMBER,11,"8,9"
0104,1,4,APRIL,4,"8,14"
0104,1,4,MAY,5,"12,13"
0104,1,4,JUNE,6,"9,10"
0104,1,4,JULY,7,"8,14"
0104,1,4,AUGUST,8,"11,12"
0104,1,4,SEPTEMBER,9,"8,9"
0104,1,4,OCTOBER,10,"13,14"
0104,1,4,NOVEMBER,11,"10,11"
0105,1,5,APRIL,4,"19,20"
0105,1,5,MAY,5,"17,18"
0105,1,5,JUNE,6,"15,21"
0105,1,5,JULY,7,"19,20"
0105,1,5,AUGUST,8,"16,17"
0105,1,5,SEPTEMBER,9,"20,21"
0105,1,5,OCTOBER,10,"18,19"
0105,1,5,NOVEMBER,11,"15,16"
0106,1,6,APRIL,4,"15,21"
0106,1,6,MAY,5,"19,20"
0106,1,6,JUNE,6,"16,17"
0106,1,6,JULY,7,"15,21"
0106,1,6,AUGUST,8,"18,19"
0106,1,6,SEPTEMBER,9,"15,16"
0106,1,6,OCTOBER,10,"20,21"
0106,1,6,NOVEMBER,11,"17,18"
0107,1,7,APRIL,4,"26,27"
0107,1,7,MAY,5,"24,25"
0107,1,7,JUNE,6,"22,28"
0107,1,7,JULY,7,"26,27"
0107,1,7,AUGUST,8,"23,24"
0107,1,7,SEPTEMBER,9,"27,28"
0107,1,7,OCTOBER,10,"25,26"
0108,1,8,APRIL,4,"22,28"
0108,1,8,MAY,5,"26,27"
0108,1,8,JUNE,6,"23,24"
0108,1,8,JULY,7,"22,28"
0108,1,8,AUGUST,8,"25,26"
0108,1,8,SEPTEMBER,9,"22,23"
0108,1,8,OCTOBER,10,"27,28"
0109,1,9,APRIL,4,"4,11"
0109,1,9,MAY,5,"2,9"
0109,1,9,JUNE,6,"6,13"
0109,1,9,JULY,7,"11,"
0109,1,9,AUGUST,8,"8,1"
0109,1,9,SEPTEMBER,9,12
0109,1,9,OCTOBER,10,"3,17"
0109,1,9,NOVEMBER,11,"7,14"
0110,1,10,APRIL,4,"18,25"
0110,1,10,MAY,5,"16,23"
0110,1,10,JUNE,6,27
0110,1,10,JULY,7,"25,18"
0110,1,10,AUGUST,8,"15,22"
0110,1,10,SEPTEMBER,9,"26,19"
0110,1,10,OCTOBER,10,"24,31"
0111,1,11,APRIL,4,29
0111,1,11,MAY,5,31
0111,1,11,JUNE,6,"29,30"
0111,1,11,JULY,7,29
0111,1,11,AUGUST,8,"29,30,31"
0111,1,11,SEPTEMBER,9,"29,30"
0201,2,1,APRIL,4,"1,21,4,22"
0201,2,1,MAY,5,"11,12"
0201,2,1,JUNE,6,"1,22,2,23"
0201,2,1,JULY,7,"13,14"
0201,2,1,AUGUST,8,"2,22,3,23"
0201,2,1,SEPTEMBER,9,"12,30,13"
0201,2,1,OCTOBER,10,"21,3,24"
0201,2,1,NOVEMBER,11,"10,11"
0202,2,2,APRIL,4,"5,25,6,26"
0202,2,2,MAY,5,"13,16"
0202,2,2,JUNE,6,"3,24,6,27"
0202,2,2,JULY,7,"15,18"
0202,2,2,AUGUST,8,"4,24,5,25"
0202,2,2,SEPTEMBER,9,"14,15"
0202,2,2,OCTOBER,10,"4,25,5,26"
0202,2,2,NOVEMBER,11,"14,15"
0203,2,3,APRIL,4,"7,27,8,28"
0203,2,3,MAY,5,"17,18"
0203,2,3,JUNE,6,"7,28,8,29"
0203,2,3,JULY,7,"19,20"
0203,2,3,AUGUST,8,"8,26,9,29"
0203,2,3,SEPTEMBER,9,"16,19"
0203,2,3,OCTOBER,10,"6,27,7,28"
0203,2,3,NOVEMBER,11,"16,17"
0204,2,4,APRIL,4,"11,29,12"
0204,2,4,MAY,5,"19,2,20"
0204,2,4,JUNE,6,"9,30,10"
0204,2,4,JULY,7,"21,1,22"
0204,2,4,AUGUST,8,"10,30,11,31"
