WARD SECTION (CONCATENATED),WARD,SECTION,MONTH NAME,MONTH NUMBER,DATES
0101,1,1,APRIL,4,"4,5"
0101,1,1,MAY,5,"30,31"
0101,1,1,JUNE,6,"29,30"
0101,1,1,AUGUST,8,"1,2"
0101,1,1,SEPTEMBER,9,"5,6"
0101,1,1,OCTOBER,10,"3,4"
0101,1,1,NOVEMBER,11,"1,7"
0102,1,2,APRIL,4,"6,7"
0102,1,2,MAY,5,"4,5"
0102,1,2,JUNE,6,"1,2"
0102,1,2,JULY,7,"6,7"
0102,1,2,AUGUST,8,"3,4"
0102,1,2,SEPTEMBER,9,"1,7"
0102,1,2,OCTOBER,10,"5,6"
0102,1,2,NOVEMBER,11,"2,3"
0103,1,3,APRIL,4,"11,12"
0103,1,3,MAY,5,"9,10"
0103,1,3,JUNE,6,"13,14"
0103,1,3,JULY,7,"11,12"
0103,1,3,AUGUST,8,"8,9"
0103,1,3,SEPTEMBER,9,"12,13"
0103,1,3,OCTOBER,10,"10,11"
0103,1,3,NOVEMBER,11,"8,14"
0104,1,4,APRIL,4,"13,14"
0104,1,4,MAY,5,"11,12"
0104,1,4,JUNE,6,"8,9"
0104,1,4,JULY,7,"13,14"
0104,1,4,AUGUST,8,"10,11"
0104,1,4,SEPTEMBER,9,"8,14"
0104,1,4,OCTOBER,10,"12,13"
0104,1,4,NOVEMBER,11,"9,10"
0105,1,5,APRIL,4,"18,19"
0105,1,5,MAY,5,"16,17"
0105,1,5,JUNE,6,"20,21"
0105,1,5,JULY,7,"18,19"
0105,1,5,AUGUST,8,"15,16"
0105,1,5,SEPTEMBER,9,"19,20"
0105,1,5,OCTOBER,10,"17,18"
0105,1,5,NOVEMBER,11,15
0106,1,6,APRIL,4,"20,21"
0106,1,6,MAY,5,"18,19"
0106,1,6,JUNE,6,"15,16"
0106,1,6,JULY,7,"20,21"
0106,1,6,AUGUST,8,"17,18"
0106,1,6,SEPTEMBER,9,"15,21"
0106,1,6,OCTOBER,10,"19,20"
0106,1,6,NOVEMBER,11,"16,17"
0107,1,7,APRIL,4,"25,26"
0107,1,7,MAY,5,"23,24"
0107,1,7,JUNE,6,"27,28"
0107,1,7,JULY,7,"25,26"
0107,1,7,AUGUST,8,"22,23"
0107,1,7,SEPTEMBER,9,"26,27"
0107,1,7,OCTOBER,10,"24,25"
0108,1,8,APRIL,4,"27,28"
0108,1,8,MAY,5,"25,26"
0108,1,8,JUNE,6,"22,23"
0108,1,8,JULY,7,"27,28"
0108,1,8,AUGUST,8,"24,25"
0108,1,8,SEPTEMBER,9,"22,28"
0108,1,8,OCTOBER,10,"26,27"
0109,1,9,APRIL,4,"3,10"
0109,1,9,MAY,5,"1,8"
0109,1,9,JUNE,6,"5,12"
0109,1,9,JULY,7,"10,17"
0109,1,9,AUGUST,8,"7,14"
0109,1,9,SEPTEMBER,9,"11,18"
0109,1,9,OCTOBER,10,"16,23"
0109,1,9,NOVEMBER,11,"6,13"
0110,1,10,APRIL,4,"17,24"
0110,1,10,MAY,5,"15,22"
0110,1,10,JUNE,6,26
0110,1,10,JULY,7,"24,31"
0110,1,10,AUGUST,8,"21,28"
0110,1,10,SEPTEMBER,9,25
0110,1,10,OCTOBER,10,"30,31"
0111,1,11,MAY,5,"2,3"
0111,1,11,JUNE,6,"6,7"
0111,1,11,JULY,7,"3,5"
0111,1,11,AUGUST,8,"29,30"
0111,1,11,SEPTEMBER,9,29
0111,1,11,OCTOBER,10,2
0201,2,1,APRIL,4,"3,4,17,18"
0201,2,1,MAY,5,"1,2,15,16,30,31"
0201,2,1,JUNE,6,"13,14,28,29"
